edge_id,pair_id,source,target,domain,weight,source_name,target_name,source_institution,target_institution,source_country,target_country
dickens-b--endo-a#sti,dickens-b--endo-a,dickens-b,endo-a,sti,3,"Dickens, Borame","Endo, Akira",National University of Singapore,London School of Hygiene & Tropical Medicine,Singapore,Japan
dickens-b--jin-s#sti,dickens-b--jin-s,dickens-b,jin-s,sti,3,"Dickens, Borame","Jin, Shihui",National University of Singapore,National University of Singapore,Singapore,Singapore
endo-a--jin-s#sti,endo-a--jin-s,endo-a,jin-s,sti,3,"Endo, Akira","Jin, Shihui",London School of Hygiene & Tropical Medicine,National University of Singapore,Japan,Singapore
koh-m--ngiam-j#amr_hai,koh-m--ngiam-j,koh-m,ngiam-j,amr_hai,3,"Koh, Matthew Chung Yi","Ngiam, Jinghao Nicholas",National University Health System,Communicable Diseases Agency,Singapore,Singapore
doi-y--fowler-v#amr_hai,doi-y--fowler-v,doi-y,fowler-v,amr_hai,3,"Doi, Yohei","Fowler, Vance G",,,Japan,United States
doi-y--vanduin-d#amr_hai,doi-y--vanduin-d,doi-y,vanduin-d,amr_hai,3,"Doi, Yohei","van Duin, David",,,Japan,United States
fowler-v--paterson-d#amr_hai,fowler-v--paterson-d,fowler-v,paterson-d,amr_hai,3,"Fowler, Vance G","Paterson, David L",,National University of Singapore,United States,Singapore
fowler-v--vanduin-d#amr_hai,fowler-v--vanduin-d,fowler-v,vanduin-d,amr_hai,3,"Fowler, Vance G","van Duin, David",,,United States,United States
paterson-d--vanduin-d#amr_hai,paterson-d--vanduin-d,paterson-d,vanduin-d,amr_hai,3,"Paterson, David L","van Duin, David",National University of Singapore,,Singapore,United States
kyaw-w--ng-d#tb,kyaw-w--ng-d,kyaw-w,ng-d,tb,3,"Kyaw, Win Mar","Ng, Deborah Hee Ling",Communicable Diseases Agency,National Centre for Infectious Diseases,Singapore,Singapore
brooks-m--malik-a#tb,brooks-m--malik-a,brooks-m,malik-a,tb,3,"Brooks, Meredith B","Malik, Amyn A",,,United States,Singapore
aung-m--ling-m#amr_hai,aung-m--ling-m,aung-m,ling-m,amr_hai,3,"Aung, May Kyawt","Ling, Moi Lin",Singapore General Hospital,SingHealth,Singapore,Singapore
aung-m--venkatachalam-i#amr_hai,aung-m--venkatachalam-i,aung-m,venkatachalam-i,amr_hai,3,"Aung, May Kyawt","Venkatachalam, Indumathi",Singapore General Hospital,Singapore General Hospital,Singapore,Singapore
ling-m--venkatachalam-i#amr_hai,ling-m--venkatachalam-i,ling-m,venkatachalam-i,amr_hai,3,"Ling, Moi Lin","Venkatachalam, Indumathi",SingHealth,Singapore General Hospital,Singapore,Singapore
harris-p--paterson-d#amr_hai,harris-p--paterson-d,harris-p,paterson-d,amr_hai,3,"Harris, Patrick N A","Paterson, David L",,National University of Singapore,Australia,Singapore
ahmed-s--bastard-m#tb,ahmed-s--bastard-m,ahmed-s,bastard-m,tb,3,"Ahmed, Saman","Bastard, Mathieu",,,Pakistan,France
ahmed-s--franke-m#tb,ahmed-s--franke-m,ahmed-s,franke-m,tb,3,"Ahmed, Saman","Franke, Molly",,Harvard University,Pakistan,United States
ahmed-s--hewison-c#tb,ahmed-s--hewison-c,ahmed-s,hewison-c,tb,3,"Ahmed, Saman","Hewison, Catherine",,,Pakistan,France
ahmed-s--huerga-h#tb,ahmed-s--huerga-h,ahmed-s,huerga-h,tb,3,"Ahmed, Saman","Huerga, Helena",,,Pakistan,France
