node_id,label,country,region,sector,iso3,is_singapore,x,y,degree,weighted_degree,n_publications
trevisi-l,"Trevisi, Letizia",United States,North America,university,USA,0,0.189268,0.392396,21,56,3
tum-s,"Tum, Sothyra",,,,,0,0.637931,0.60852,24,26,3
tuot-s,"Tuot, Sovannary",,,,,0,0.249467,0.566642,4,39,5
turner-p,"Turner, Paul",United Kingdom,Europe,university,GBR,0,0.616321,0.607377,26,31,3
vanduin-d,"van Duin, David",,,,,0,0.446641,0.548843,30,42,3
vankerkhove-m,"Van Kerkhove, Maria D",Switzerland,Europe,government,CHE,0,0.536053,0.42204,42,42,1
vicari-a,"Vicari, Andrea",United States,North America,government,USA,0,0.530745,0.426159,42,42,1
vilbrun-s,"Vilbrun, Stalz Charles",,,,,0,0.175132,0.413087,12,24,2
vilchez-s,"Vilchez, Samuel",,,,,0,0.442843,0.550943,30,30,1
villa-s,"Villa, Simone",,,,,0,0.40473,0.487926,34,34,1
villanueva-c,"Villanueva, Cary Amiel G",,,,,0,0.409036,0.484902,34,34,2
villegas-m,"Villegas, Maria Virginia",,,,,0,0.441378,0.548278,30,30,1
vongottberg-a,"von Gottberg, Anne",,,,,0,0.53532,0.433571,42,42,1
vongsouvath-m,"Vongsouvath, Manivanh",,,,,0,0.641016,0.612631,24,27,3
wang-m,"Wang, Mengwen",,,,,0,0.47307,0.584403,49,49,2
ward-m,"Ward, Michael P",,,,,0,0.644333,0.61165,24,24,1
wijaya-h,"Wijaya, Hendri",,,,,0,0.478941,0.585025,49,49,1
windsor-p,"Windsor, Peter A",,,,,0,0.640813,0.609347,24,24,1
wong-k,"Wong, Ke Juin",,,,,0,0.472353,0.591063,49,49,1
wu-s,"Wu, Sheng",,,,,0,0.471111,0.589068,49,49,1
xiao-y,"Xiao, Yonghong",,,,,0,0.475193,0.58619,49,49,1
yadav-p,"Yadav, Pragya",,,,,0,0.529982,0.42204,42,42,1
yi-s,"Yi, Siyan",Singapore,Southeast Asia,university,SGP,1,0.250851,0.570715,4,29,5
young-j,"Young, James R",,,,,0,0.637824,0.614366,24,24,1
zhang-y,"Zhang, Yu",Singapore,Southeast Asia,research_institute,SGP,1,0.987168,0.399321,0,45,12
zhong-y,"Zhong, Youjia",Singapore,Southeast Asia,university,SGP,1,1.0,0.530318,0,26,2
