uid,type_id,type_label,type_score,year,primary_domain
doi:10.1002/jia2.70052,surveillance_epidemiology,Surveillance and epidemiology,4,2025,sti
doi:10.1038/s41467-025-66411-6,entomology,Entomology,8,2025,vector_borne
doi:10.1038/s41467-025-66411-6,surveillance_epidemiology,Surveillance and epidemiology,7,2025,vector_borne
doi:10.1038/s41467-025-66411-6,outbreak_management,Outbreak management,4,2025,vector_borne
doi:10.1038/s41591-025-04041-7,treatment,Treatment,8,2025,sti
doi:10.1038/s41591-025-04041-7,virology,Virology,8,2025,sti
doi:10.7759/cureus.100362,case_study,Case study,6,2025,tb
doi:10.1016/s2213-2600(25)00194-8,treatment,Treatment,8,2025,tb
doi:10.3389/fmicb.2025.1711400,genomics,Genomics,4,2025,amr_hai
doi:10.3389/fmicb.2025.1711400,surveillance_epidemiology,Surveillance and epidemiology,3,2025,amr_hai
doi:10.1073/pnas.2502522122,immunology,Immunology,4,2025,vector_borne
doi:10.1073/pnas.2502522122,virology,Virology,3,2025,vector_borne
doi:10.1021/acs.analchem.5c05609,modelling,Modelling,4,2025,amr_hai
doi:10.3390/pathogens14080741,detection,Detection,8,2025,tb
doi:10.1186/s12916-025-03941-2,entomology,Entomology,16,2025,vector_borne
doi:10.1002/pro.5142,basic_research,Basic research,6,2024,vector_borne
doi:10.1002/pro.5142,virology,Virology,3,2024,vector_borne
doi:10.1186/s12915-024-02070-1,entomology,Entomology,16,2024,vector_borne
doi:10.1186/s12915-024-02070-1,modelling,Modelling,10,2024,vector_borne
doi:10.1183/16000617.0208-2023,surveillance_epidemiology,Surveillance and epidemiology,5,2024,tb
doi:10.1016/j.ijid.2024.107768,surveillance_epidemiology,Surveillance and epidemiology,4,2024,tb
doi:10.47102/annals-acadmedsg.2023391,disease_management,Disease management,6,2024,tb
doi:10.47102/annals-acadmedsg.2023391,treatment,Treatment,3,2024,tb
doi:10.1038/s41467-024-54419-3,treatment,Treatment,8,2024,tb
doi:10.1038/s41467-024-54419-3,clinical_studies,Clinical studies,6,2024,tb
doi:10.1016/s2213-2600(24)00186-3,treatment,Treatment,8,2024,tb
doi:10.1007/s12104-024-10208-z,virology,Virology,3,2024,vector_borne
doi:10.1186/s12874-024-02291-6,entomology,Entomology,16,2024,vector_borne
doi:10.1186/s12874-024-02291-6,surveillance_epidemiology,Surveillance and epidemiology,8,2024,vector_borne
doi:10.1016/s2542-5196(24)00169-4,entomology,Entomology,16,2024,vector_borne
doi:10.1016/s2542-5196(24)00169-4,surveillance_epidemiology,Surveillance and epidemiology,5,2024,vector_borne
doi:10.1186/s12879-024-10027-6,detection,Detection,4,2024,tb
doi:10.1186/s12879-024-10027-6,modelling,Modelling,3,2024,tb
doi:10.1016/j.ijid.2024.107221,detection,Detection,11,2024,tb
doi:10.1016/j.ebiom.2024.105456,entomology,Entomology,16,2024,vector_borne
